Words,Length,AROU M,AROU SD,VAL M,VAL SD
builder,7,3.813,1.55,5.529,0.977
building,8,2.969,1.879,5.147,0.912
bulb,4,3.219,1.916,5.375,0.82
bulb (light),4,3.765,1.956,6.114,1.09
bulb (plant),4,2.788,1.719,6.182,1.424
bulge,5,4.333,2.17,4,1.723
bulk,4,4.235,1.848,4.941,1.327
bull,4,4.8,2.328,4.265,1.54
bulldozer,9,4.147,2.303,4.177,1.07
bullet,6,5.647,2.056,2.706,1.582
bullish,7,4.115,2.225,3,1.174
bully,5,4.514,2.579,1.618,1
bundle,6,3.943,1.492,5.486,1.105
bungalow,8,3.091,2.109,5.121,1.094
bunk,4,3.6,1.839,4.714,0.881
bunk (bed),4,3.543,2.075,5.235,0.941
bunk (truant),4,4.767,1.961,3.393,1.263
bunny,5,4.758,2.23,6.941,1.434
buoy,4,3.767,1.978,5.152,0.957
burden,6,4.206,1.937,2.324,0.962
burger,6,5.212,2.24,6.156,1.679
burglar,7,5.438,2.164,2.469,1.06
burglary,8,5.781,2.342,2.182,0.999
burgle,6,5.118,2.41,2.303,1.114
burial,6,4.091,2.391,2.314,1.368
burn,4,4.818,2.443,3,1.456
burner,6,4.441,1.988,4.265,1.22
burnt,5,5.194,2.176,2.688,0.846
burst,5,5.938,1.694,4.147,1.061
bury,4,3.882,2.069,3.171,1.298
bus,3,3.177,2.065,5.303,0.904
business,8,3.969,2.143,5.765,1.373
businessman,11,3.382,2.115,4.939,1.347
bust,4,5.441,1.913,5.4,1.589
bust (break),4,4.516,2.062,3.419,1.519
bust (breasts),4,6.2,2.081,6.114,1.304
bust (sculpture),4,4.484,2.046,5.594,1.086
busy,4,4.382,2.301,4.647,1.453
busybody,8,4.452,2.153,3.344,1.265
butcher,7,4.143,2.27,4.229,1.774
butler,6,3.781,1.709,4.735,1.29
butt,4,5.467,1.821,4.607,1.047
butter,6,4.323,2.085,5.484,0.838
butterfly,9,5.774,2.31,7.091,1.357
button,6,3.677,2.219,5.235,0.807
buy,3,5.706,2.136,6.265,1.335
buzzard,7,4.414,2.312,5.31,1.342
cabin,5,4.177,1.653,5.364,0.881
cabinet,7,3.147,1.611,4.971,0.167
cabinet (closet),7,3.194,1.786,5.061,0.6
cabinet (council),7,3.267,1.896,4.469,1.436
cacti,5,4.371,1.987,4.794,1.051
cactus,6,4.457,2.182,4.971,1.23
cafe,4,4.515,1.579,6.094,1.1
cake,4,5.941,2.413,7.147,1.309
cakes,5,6.333,2.142,7.375,1.192
calcium,7,4.086,2.26,5.727,1.162
calculus,8,2.879,1.966,4.406,1.852
calendar,8,3.516,1.682,5.265,1.066
calf,4,3.886,1.997,5.886,1.304
calf (cow),4,3.515,1.971,6.094,1.208
calf (muscle),4,3.765,1.848,5.618,1.189
call,4,4.794,2.097,5.286,1.002
call (shout),4,5.235,1.941,4.875,1.218
call (telephone),4,4.588,2.302,5.441,1.168
call (visit),4,4.546,1.986,6.177,1.294
calm,4,3.743,2.061,7.343,1.17
camel,5,4.469,1.952,5.516,1.215
camera,6,4.677,2.398,6.177,1.339
camouflage,10,4.657,2.254,5.333,1.295
camp,4,4.294,1.948,5.313,0.808
camp (effeminate),4,4.094,2.127,4.613,1.979
camp (tents),4,3.581,1.996,5.807,1.468
camper,6,3.818,2.066,5.441,1.143
campus,6,4.121,1.822,5.882,1.207
canal,5,2.857,1.552,5.091,0.83
cancer,6,4.281,2.54,1.219,0.544
candidate,9,4.452,2.061,5.533,1.335
candle,6,4.903,1.784,6.333,1.35
candy,5,5.714,2.275,7.029,1.363
candyfloss,10,4.969,2.404,6.735,1.461
cane,4,4.031,2.172,4.235,1.699
cane (beat),4,4.576,2.27,2.688,1.667
cane (stick),4,4.677,2.206,3.529,1.48
cane (sugar),4,4.177,2.443,5.941,1.371
cannon,6,5.5,2.136,3.875,1.474
canoe,5,3.886,2.188,5.6,1.101
canyon,6,4.625,2.204,5.294,0.925
cap,3,3.286,1.891,4.941,0.639
cap (hat),3,3.686,1.801,5.286,1.322
cap (limit),3,3.273,1.814,4.091,0.793
capable,7,5.057,2.056,7.029,0.954
capacity,8,4.143,2.127,5.059,1.413
cape,4,4.364,2.101,5.294,1.249
captivate,9,6.97,1.507,6.879,1.754
captivating,11,7.484,1.215,7.813,1.014
captive,7,4.968,2.133,2.733,1.315
capture,7,5.485,2.488,3.114,1.686
car,3,4.914,2.247,6.029,1.383
caravan,7,3.455,1.653,5.406,1.32
carbohydrate,12,4.382,1.91,5.441,1.355
carbon,6,3.853,2.074,4.971,1.404
carcass,7,4.303,2.564,2.6,1.428
card,4,3.645,1.841,5.516,0.666
care,4,5.294,1.963,7.719,0.874
career,6,5.4,2.114,6.765,1.307
careful,7,4.152,1.635,6.147,1.396
caress,6,6.563,1.836,7.063,1.298
carnival,8,6.6,2.045,7.294,1.044
carol,5,3.697,1.899,6.242,1.181
carp,4,2.607,1.858,4.655,0.957
carpenter,9,3.333,1.949,5.515,0.989
carpet,6,3.529,1.819,5.086,1.105
carriage,8,4.182,2.066,5.677,1.028
carrot,6,3.618,1.925,5.486,1.381
carry,5,3.563,1.694,5.514,0.906
carve,5,4.059,1.97,4.529,1.719
case,4,3.179,1.629,5.06,0.751
case (container),4,2.727,1.763,5.061,0.6
case (instance),4,3.5,1.62,4.727,1.238
case (legal),4,3.735,1.915,3.765,1.214
cash,4,5.971,2.261,6.75,1.677
cashier,7,3.242,1.634,5.156,0.507
casino,6,5.441,1.648,4.429,1.695
cast,4,4.121,1.61,4.971,0.56
cast (actors),4,5.412,1.751,5.794,1.079
cast (plaster bandage),4,3.514,1.645,3.543,1.25
cast (throw),4,4.182,2.066,4.667,1.45
castle,6,5.875,2.027,6.065,1.48
casual,6,3.686,1.737,5.441,1.034
casualty,8,4.152,2.162,2.686,1.368
cat,3,3.97,2.646,5.939,1.632
catapult,8,5.581,1.964,4.606,1.516
catastrophe,11,6.088,3.052,1.543,1.104
catch,5,5.375,2.088,5.531,1.199
catch (a ball),5,5.257,2.247,6.139,1.417
catch (drawback),5,4.156,1.97,2.807,1.229
catch (restraint),5,4.941,1.798,4.061,1.205
catch (romantic),5,6.412,1.734,7.429,1.379
caterpillar,11,3.563,1.638,5.75,1.199
cathedral,9,4.029,2.382,5.8,1.41
cattle,6,3.242,1.634,5.265,1.066
caught,6,5,1.757,3.429,1.337
cauliflower,11,3.088,2.442,5.667,1.664
caution,7,5.4,2.428,4.229,1.692
cautious,8,4.152,1.794,4.636,1.344
cave,4,4.235,2.377,4.714,1.541
caviar,6,3.515,2.148,5.452,1.775
cavity,6,3.059,1.798,3.143,1.552
cease,5,4.125,2.058,3.647,1.281
ceiling,7,2.849,1.925,4.971,0.747
celebrate,9,7.313,1.379,8.182,0.757
celebration,11,7.4,1.589,8.314,0.82
celebrity,9,5.441,2.278,5.147,2.046
celery,6,3.182,2.181,4.909,1.24
cell,4,3.971,1.992,4.5,1.649
cell (biological),4,3.6,2.003,5.771,1.456
cell (jail),4,3.438,2.061,2.353,1.108
cellar,6,3.303,1.8,4.177,1.524
cello,5,3.688,2.171,5.8,0.98
cells,5,4.452,1.864,5,1.571
cement,6,2.882,1.659,4.771,0.865
cemetery,8,3.914,2.359,2.543,1.81
cervix,6,4.5,2.424,5.394,1.205
chain,5,4.629,2.281,4.029,1.175
chair,5,3.265,2.253,5.382,0.805
chair (head),5,3.943,1.788,5.656,1.162
chair (seat),5,2.629,1.475,5.294,0.749
chalice,7,5,2.129,5.548,1.846
chalk,5,3.613,1.58,5.067,0.442
chameleon,9,5.406,2.276,5.613,0.973
champion,8,7.235,1.554,8.03,1.058
chance,6,5.824,2.079,6.486,1.339
chandelier,10,5.031,1.976,5.656,1.513
change,6,4.912,2.188,5.333,1.47
change (coins),6,4.606,1.969,5.5,1.007
change (transform),6,5.829,1.844,6.514,1.204
chaos,5,6.441,1.988,2.344,1.215
chaotic,7,7.177,2.079,2.765,1.307
chapel,6,3.879,2.434,5.485,1.654
charge,6,4.4,2.219,4.714,1.614
charge (card),6,3.531,2.076,4.355,1.206
charge (dependent),6,3.5,2.062,4.938,1.456
charge (electric),6,5.909,2.221,5.743,1.273
charge (price),6,3.743,1.991,4.118,1.022
charge (rush),6,5.936,2.154,4.29,1.3
charity,7,4.314,1.997,7.457,1.227
charlatan,9,4.714,2.476,2.75,1.299
charm,5,5.758,2.323,7.485,1.131
charm (lucky),5,6.412,1.437,7.588,1.032
charm (social allure),5,6.206,2.471,7.571,1.154
charming,8,6.941,1.474,7.594,0.861
chasm,5,5.72,2.108,4.036,1.742
chauffeur,9,4.118,2.069,5.765,1.535
cheap,5,5,1.954,5.303,1.714
check,5,3.546,1.811,5.088,0.919
cheek,5,4.563,1.638,5.063,1.391
cheer,5,7.059,1.454,7.857,0.96
cheer (happiness),5,7.543,1.61,8.543,0.731
cheer (support),5,7.424,1.652,8.152,0.857
cheerful,8,6.171,1.558,8,0.875
cheers,6,5.697,2.289,7.324,1.254
cheese,6,5.258,2.016,6.033,1.402
cheetah,7,5.625,1.746,6,1.213
chef,4,4.677,1.905,5.912,1.401
chemist,7,3.571,1.99,5.829,1.298
chemistry,9,5.194,2.375,6.094,1.739
chemistry (rapport),9,5.688,2.391,6.606,1.74
chemistry (science),9,4.794,2.411,5.571,1.695
cheque,6,4.75,2.236,6.03,1.381
cherry,6,5.486,2.048,6.152,1.395
chess,5,3.758,2.016,5.353,1.326
chest,5,5.677,1.532,5.29,1.57
chest (cabinet),5,3.086,1.746,5.206,0.677
chest (torso),5,5.529,2.304,5.765,1.352
chestnut,8,3.529,2.291,5.412,0.809
chew,4,3.906,2.112,5.333,1.172
chewy,5,4.469,1.479,4.438,1.144
chief,5,4.829,2.348,5.971,1.502
chihuahua,9,3.969,2.456,5.031,1.686
child,5,4.226,2.09,6.194,1.512
children,8,4.968,1.975,6.3,1.552
chime,5,4.788,1.996,5.829,1.363
chimpanzee,10,5.871,2.352,5.938,1.223
chin,4,3.182,1.641,5.063,0.556
chip,4,4.094,1.958,5.824,1.382
chipmunk,8,4.059,2.413,6.333,1.511
chips,5,5,2.324,6.194,1.574
chisel,6,3.563,2.091,4.969,0.728
chocolate,9,7,1.69,7.829,1.134
choir,5,4.636,1.982,6.588,1.286
choke,5,6,2.236,2.424,1.102
choked,6,5.471,2.291,2.152,1.077
choose,6,4.882,2.04,6.382,1.237
choral,6,4.138,1.978,5.69,1.206
chord,5,4.906,2.227,6.03,1.218
chose,5,4.576,1.955,6.03,1.487
Christmas,9,7.516,2.014,7.914,1.339
chubby,6,4.029,1.934,3.257,1.273
chunk,5,3.914,1.977,4.686,1.09
church,6,3.129,2.044,4.485,2.032
chute,5,4.781,2.446,5.394,0.814
cigar,5,5.031,1.63,4.032,1.732
cigarette,9,4.969,2.43,3,1.696
cinema,6,5.571,2.074,6.629,1.044
circle,6,4.2,1.887,5.767,1.023
circuit,7,3.529,1.736,4.941,0.968
circular,8,3.727,1.863,5.412,0.732
circulate,9,3.941,1.909,5.4,1.02
circulation,11,4.629,1.774,5.833,1.236
circumstances,13,4.5,1.714,4.485,1.048
circus,6,6.273,1.911,6.029,1.774
citation,8,3.455,1.971,5.114,1.19
cite,4,3.258,1.544,5.031,0.952
city,4,6.161,1.851,5.844,1.302
civilian,8,4,1.518,5.235,1.031
civilization,12,5,2.029,6.177,1.465
civilized,9,4.121,1.701,7.061,1.179
clam,4,3.143,1.823,5.353,1.453
clan,4,4.5,2.047,5.364,1.789
clarinet,8,4.143,2.631,5.743,1.051
class,5,4.121,2.129,5.091,1.334
class (school),5,3.559,2.291,5.229,1.416
class (status),5,3.677,2.161,4.097,1.784
classical,9,4.971,1.902,6.114,1.237
classify,8,3.688,2.083,5.4,1.101
clause,6,2.971,1.839,4.6,0.725
claw,4,4.75,1.984,4.125,1.218
claws,5,6.031,1.551,3.727,1.483
claymore,8,4.476,2.5,4.048,1.09
clean,5,5.147,2.074,7.088,1.292
cleaner,7,4,2.136,5.091,1.505
cleaner (maid),7,3.471,1.989,4.853,1.061
cleaner (more clean),7,4.829,2.261,7.029,1.647
clear,5,4.667,2.07,6.212,0.977
clergy,6,2.844,1.787,4.727,1.462
clever,6,5.765,1.75,7.629,1.098
click,5,4.059,1.846,5.03,0.674
client,6,4.063,1.784,5.069,1.112
cliff,5,4.8,2.315,4.171,1.424
climate,7,4.969,2.201,5.313,1.446
climax,6,7.455,2.189,7.273,1.262
climb,5,4.714,2.146,5.765,1.031
climber,7,4.618,2.485,5.765,0.941
cling,5,4.242,1.843,3.774,1.518
clingy,6,4.125,2.26,2.743,1.051
cloak,5,4.182,2.236,5.361,1.294
clock,5,4.031,1.879,5.438,1.059
clone,5,5.129,2.028,4.125,1.139
close,5,4.133,1.708,4.71,1.549
close (near),5,4.531,2.277,6.273,1.399
close (stairwell),5,3.394,1.825,4.879,0.477
closure,7,4.242,1.923,6,1.789
cloth,5,3.647,2.056,5.469,0.901
clothes,7,5.206,2.233,5.882,0.963
clothing,8,4.939,2.159,6.059,1.327
cloud,5,3.871,1.845,5.531,1.62
cloud (sky),5,4.853,2.116,6.059,1.514
cloud (spoil),5,3,1.62,3.156,1.228
cloudy,6,3.912,2.28,4.029,1.276
clove,5,3.813,2.113,5.152,1.019
clover,6,4.206,2.111,6.353,1.432
clown,5,4.4,2.448,4.333,1.752
club,4,5.794,2.193,6.114,1.469
club (card suit),4,3.424,2.031,5.515,1.077
club (disco),4,5.824,2.307,6.529,1.649
club (hit),4,4.719,2.295,3.212,1.552
club (organisation),4,4.8,1.968,6.114,1.141
club (tool),4,3.765,2.289,3.735,1.171
clue,4,5.313,2.113,6.094,1.182
clueless,8,3.364,1.904,3.324,0.931
clumsy,6,4.265,1.868,3.629,1.017
cluster,7,4.344,1.914,5.059,0.639
clutch,6,4.4,2.003,4.571,1.294
clutch (bag),6,3.939,1.791,5.457,1.273
clutch (car),6,3.588,1.734,4.882,0.758
clutch (grab),6,5.343,2.097,4.257,1.273
clutter,7,3.515,2.091,3.061,1.099
coach,5,3.941,1.999,5.6,1.2
coach (bus),5,3.03,1.696,5.286,1.343
coach (trainer),5,4.906,1.646,6,1.317
coarse,6,3.625,2.162,3.912,1.121
coast,5,5.215,2.049,6.212,1.237
coast (beach),5,5.576,2.606,7.281,1.419
coast (glide),5,4.424,1.558,5.697,1.087
coaster,7,3.242,1.985,5.273,1.399
coat,4,3.844,1.822,5.75,1.199
coat (cover),4,3.735,1.771,5.212,0.729
coat (jacket),4,3.563,1.87,5.735,1.12
cobble,6,3.212,1.754,4.857,0.723
cock,4,6.585,2.19,5.046,1.727
cock (bird),4,3.618,2.142,5.343,1.068
cock (dick),4,6.059,2.182,5.059,1.893
cock (tilt),4,4.206,1.952,4.543,1.203
cockerel,8,4.097,2.319,4.933,1.181
cockney,7,4,2.049,4.968,1.257
cockroach,9,5.156,2.563,2.313,1.13
cocktail,8,7.156,1.149,6.647,1.135
cod,3,2.879,1.822,4.941,1.027
code,4,3.909,2.327,5,0.921
coerce,6,5.233,1.874,3.214,1.346
coffee,6,5.486,2.048,5.882,1.345
coffin,6,4.061,2.558,2.029,1.2
coin,4,4.394,2.044,5.97,1.058
coke,4,4.121,2.011,5.206,1.779
coke (coal),4,3.433,2.171,4.844,1.253
coke (cocaine),4,4.588,2.439,2.941,1.846
coke (cola),4,5.114,2.302,5.324,1.951
cola,4,4.406,2.134,5.429,1.626
cold,4,4.086,2.222,3.257,1.104
cold (illness),4,2.714,1.666,2.371,0.897
cold (temperature),4,4.818,2.467,3.333,1.47
collage,7,4,1.773,5.765,1.002
collar,6,3.548,1.846,4.967,0.983
collate,7,3.546,1.616,5.219,0.599
collect,7,4.273,1.656,5.606,1.071
college,7,4.912,1.772,5.943,1.603
colonel,7,3.912,2.215,5.235,1.61
colony,6,4.091,1.975,5,1.436
colour,6,6.324,1.966,6.697,1.425
column,6,3.242,1.81,5.294,1.016
comb,4,3.25,1.937,5.25,0.559
combat,6,5.286,2.064,3.382,1.627
combatant,9,5.107,2.35,3.857,1.329
combustion,10,5.971,1.699,4.6,1.458
comedian,8,6.294,1.791,7.091,1.712
comedy,6,7.065,1.343,7.406,1.057
comet,5,6.457,2.5,6.235,1.554
comfort,7,4.258,2.257,7.485,1.234
comfortable,11,4.514,2.322,7.571,1.202
comma,5,3.355,2.056,5.1,1.399
command,7,5.613,1.946,4.188,1.57
commander,9,5.088,2.254,5.171,1.647
commanding,10,6.156,2.002,5.324,1.921
comment,7,3.743,2.102,5.219,1.166
committee,9,3.75,1.871,5.471,1.091
common,6,3,1.524,4.313,1.044
communication,13,5.2,1.968,7.4,1.02
compare,7,3.688,1.722,5.594,1.142
comparison,10,4.382,1.732,4.97,0.937
compass,7,3.647,1.892,5.559,0.847
compete,7,5.6,2.463,6.061,1.391
competence,10,5.387,2.12,6.75,1.031
competent,9,5,1.572,6.719,1.586
competition,11,6.273,1.582,5.857,1.245
complement,10,6.394,1.922,7.364,1.251
complete,8,5.857,2.002,7.343,1.33
complex,7,4.879,2.157,4.273,1.441
complex (behaviour),7,5.206,1.982,4.265,1.335
complex (buildings),7,3.514,2.075,5.029,1.014
complex (difficult),7,5.394,1.858,3.813,1.648
complicated,11,5.242,2.438,3.324,1.47
compliment,10,6.571,1.712,8.057,1.308
compose,7,4.546,2.119,6.394,1.254
composer,8,4.5,1.929,6.294,1.425
compute,7,3.914,1.645,5.686,1.237
computer,8,4.515,2.35,5.844,1.228
comrade,7,4.781,2.042,5.735,1.836
conceal,7,4.833,1.529,4.063,1.54
concealed,9,4.531,1.541,3.788,1.249
concentrate,11,4.364,1.839,6.294,1.044
concept,7,4.735,2.2,5.686,1.26
conceptual,10,4.8,2.301,5.452,1.478
concert,7,6.939,2.242,7.2,1.214
conclude,8,3.849,1.743,5.424,1.393
conclusion,10,4.571,2.088,5.257,1.537
concoct,7,4.774,2.31,4.621,1.424
concoction,10,5.719,2.035,5.344,1.914
concrete,8,3.094,1.843,5.294,0.925
condemn,7,4.452,2.168,3.061,1.65
condescend,10,4.065,2.063,2.71,0.85
condescending,13,4.531,2.424,1.97,0.797
conductor,9,4.286,2.05,5.457,1.203
confer,6,3.645,1.733,5.733,1.289
conference,10,3.355,1.893,4.912,1.197
confess,7,5.265,2.062,4.912,1.738
confetti,8,5.75,2.55,6.938,1.519
confide,7,5.029,2.079,6.636,1.473
confidence,10,6.849,1.69,7.765,1.307
confident,9,7,1.368,7.813,0.95
confirm,7,4.429,1.902,6.143,1.175
confirmation,12,3.912,1.9,6.114,1.652
conform,7,3.647,1.923,3.529,1.44
conformity,10,3.686,1.801,3.618,1.476
confuse,7,3.813,2.083,3.636,1.039
confused,8,4.323,1.654,3.438,0.966
confusion,9,4.686,2.162,3.235,1.031
connect,7,4.265,2.062,6.514,1.131
connection,10,5.667,2.099,6.563,1.368
connoisseur,11,5.828,2.229,6.833,1.44
conquer,7,6.706,2.066,4.912,2.43
conqueror,9,6.286,2.456,4.944,2.426
conquest,8,6.212,1.822,5.303,1.883
consent,7,4.588,2.088,6.471,1.649
console,7,4.912,2.035,5.857,1.659
consonant,9,3.531,1.904,5.152,0.657
construction,12,3.909,1.602,5.438,0.899
consult,7,3.353,1.607,5.455,1.047
contain,7,3.581,1.519,4.818,1.058
container,9,3.485,1.598,5.152,1.048
contempt,8,4.714,2.159,3.286,1.649
contend,7,4.182,1.866,4.824,1.097
contender,9,5.323,2.234,6.143,1.397
content,7,3.968,1.926,5.939,1.254
content (contents),7,3.8,1.618,5.486,1.025
content (happy),7,6.548,1.72,8.156,1.003
contents,8,3.5,1.581,5.343,0.674
context,7,4.061,1.953,5.543,1.155
continent,9,3.424,1.759,5.543,1.104
continental,11,4.067,1.914,5.813,1.158
contract,8,3.971,1.594,4.853,1.574
contract (agreement),8,3.455,2.076,5.029,1.207
contract (catch),8,4.333,2.238,3.688,1.911
contribute,10,4.941,1.644,7.029,0.954
contribution,12,5.2,2.162,6.824,1.361
convene,7,3.967,1.581,5.276,0.783
convener,8,3.3,1.595,5.286,0.749
convent,7,3.226,1.93,4.273,1.619
convention,10,3.364,2.086,4.667,1.717
convert,7,4.242,1.793,4.606,1.496
convict,7,5.455,2.324,2.143,1.15
conviction,10,5.143,2.282,3.829,2.158
convoy,6,3.588,1.865,4.853,1.167
cook,4,5.094,2.082,6.406,1.32
cooker,6,4.229,2.126,5.286,0.658
cool,4,5.235,2.087,6.485,1.725
cool (popular),4,5.727,1.83,6.719,1.7
cool (temperature),4,3.353,1.813,4.412,1.309
cooperate,9,4.382,1.895,6.806,1.524
copy,4,3.394,1.722,4.333,1.035
coral,5,4.727,1.943,6.118,1.231
cord,4,3.206,1.728,4.971,0.747
core,4,4.719,1.956,5.182,0.757
cork,4,4.094,1.665,5.194,0.858
corn,4,3.412,1.912,5.4,0.869
corn (foot),4,3.065,2.169,2.727,1.052
corn (maize),4,3.086,2.13,5.629,1.123
corner,6,3.529,1.882,4.765,0.73
corner (edge),6,3.441,2.199,4.353,0.997
corner (surround),6,4.121,2.041,4.182,1.266
cornered,8,4.829,2.513,2.543,1.203
cornflour,9,2.313,1.648,5.094,0.914
corporation,11,3.212,2.1,4.143,1.988
corpse,6,4.968,2.646,2.516,1.341
corridor,8,3.529,2.004,5.029,0.91
corrupt,7,4.212,2.358,2.147,1.417
cortex,6,4.129,2.338,5.452,1.24
cost,4,5.031,1.794,3.645,1.404
costly,6,4.412,2.184,2.971,1.276
costume,7,5.909,2.094,5.788,1.533
cosy,4,5.406,2.498,7.794,1.051
cottage,7,3.971,1.978,6.061,1.254
cotton,6,3.559,2.225,5.941,1.136
couch,5,3.667,2.077,5.788,1.343
couch (express),5,3.63,1.829,5.074,1.086
couch (sofa),5,4.091,1.694,5.886,1.237
cough,5,4.059,1.909,3.686,1.063
councillor,10,3.647,1.643,4.486,1.61
counsellor,10,3.813,1.991,5.344,1.36
count,5,2.886,1.563,5.265,0.885
count (numbers),5,3.029,1.647,4.941,0.906
count (title),5,3.242,1.826,5,1.206
counter,7,3.059,1.924,5.057,0.63
counter (keeping account),7,3.086,1.991,5.056,1.649
counter (oppose),7,4.515,2.162,3.656,1.135
counter (worktop),7,3.5,1.819,5.394,0.983
country,7,4.371,2.451,5.829,1.298
county,6,3.212,1.572,5.242,0.605
coup,4,3.667,1.981,4.615,1.521
couple,6,5.364,2.086,7,1.255
couple (a few),6,4.059,1.731,5.229,0.68
couple (romantic pair),6,6.382,1.956,7.515,1.598
courage,7,7.206,1.106,8.143,1.099
courageous,10,6.588,1.536,8.091,0.83
course,6,3.629,1.774,5.057,1.12
course (class),6,4.194,2.07,5.469,1.457
course (path),6,4.294,2.23,5.943,1.17
court,5,4.903,1.711,4.188,1.379
court (law),5,3.97,2.222,4.088,1.634
court (sport),5,3.788,2.28,5.469,1.172
court (woo),5,6.1,1.886,6.484,1.584
courtship,9,5.257,2.116,6.686,1.469
courtyard,9,3.758,2.045,5.559,1.09
cover,5,4.226,1.601,5.267,0.892
covert,6,4.625,2.132,4.455,1.35
cow,3,3.147,1.865,5.177,1.339
coward,6,3.807,2.07,2.515,1.329
cowardice,9,4.059,2.127,2.257,1.024
cowardly,8,4.406,1.748,2.455,1.018
cowboy,6,4.853,1.942,5.471,1.169
cowboy (reckless),6,5.667,2.04,4.065,1.664
cowboy (wild west),6,5.364,2.144,5.743,1.179
crab,4,4.057,1.756,5.029,0.774
crab (cranky person),4,3.412,2.045,2.412,1.061
crab (shellfish),4,3.242,2.189,5.125,1.244
cradle,6,4.143,2.282,6.314,1.214
craft,5,4.735,2.2,5.97,1.337
craft (skill),5,4.794,1.952,6.765,1.238
craft (vessel),5,3.515,1.861,5.294,0.956
crag,4,4.182,1.969,4.773,1.042
cranium,7,4.774,1.698,5.533,1.024
crank,5,4.059,2.376,3.944,1.246
crank (grouch),5,4.345,1.935,2.69,1.206
crank (winch),5,3.71,1.726,4.344,0.814
crap,4,4.147,2.475,2.559,1.333
crash,5,5.152,2.687,2.387,1.183
crater,6,4.257,2.129,4,0.921
crawl,5,3.969,2.069,4.618,1.476
crayon,6,4.265,2.146,5.727,1.108
crazy,5,6.206,2.125,3.059,1.349
cream,5,4.515,2.641,5.941,1.027
create,6,5.529,2.104,7.273,1.238
creator,7,5.514,2.465,6.629,1.605
creature,8,5.133,2.012,5.281,1.754
credit,6,4.029,2.093,5.941,1.697
credit (money),6,5.441,2.239,6.6,1.642
credit (praise),6,5.371,2.343,7.677,1.585
creek,5,3.906,1.826,5.094,1.071
creep,5,5.118,2.349,2.118,0.993
crest,5,4.061,1.953,5.235,0.73
crevice,7,4.452,2.107,4.29,1.275
cricket,7,3,1.97,5.059,0.684
cricket (insect),7,2.971,1.917,4.571,1.178
cricket (sport),7,2.794,1.795,5.242,1.326
crime,5,5.4,2.357,1.941,1.027
criminal,8,5.353,2.287,2.029,1.207
crisis,6,6.147,2.366,1.8,0.786
crisp,5,5.086,2.089,5.853,1.286
crisp (chip),5,4.406,2.262,5.636,1.251
crisp (sharp),5,5.914,2.089,5.882,1.132
critic,6,4.313,2.007,2.912,1.442
criticism,9,5,2.188,2.758,1.478
criticize,9,4.882,2.471,2.677,1.23
crocodile,9,5.441,2.603,4.028,1.236
crook,5,4.849,2.231,2.5,1.09
crook (criminal),5,5.529,2.145,1.912,0.887
crook (stick),5,2.879,1.409,4.714,0.943
crop,4,3.606,1.922,5.156,0.755
crops,5,3.625,1.728,6.063,1.116
cross,5,3.618,1.591,4.294,1.362
cross (an object),5,3.25,1.714,4.576,1.436
cross (annoyed),5,4.686,2.175,2.794,0.9
cross (offend),5,4.879,2.212,2.824,1.042
cross (pass),5,3.424,1.985,4.853,0.944
crossbow,8,4.5,2.047,4.273,1.377
crossed,7,3.636,1.592,4.147,1.115
crow,4,3.469,2.046,4.613,1.698
crowd,5,5.206,1.811,4.758,1.538
crown,5,5.333,1.787,6.121,1.409
crucifix,8,4.818,2.467,3.875,2.073
crucify,7,5.394,2.486,2.094,1.508
crude,5,5.303,1.467,3.364,1.367
cruel,5,4.029,2.526,1.743,1.499
cruise,6,5.063,2.135,6.387,1.62
crumb,5,3.303,1.605,4.714,1.03
crumble,7,4.323,1.941,3.714,1.446
crunch,6,4.875,1.867,4.939,1.153
crunchy,7,4.677,2.31,5.543,1.13
crush,5,6.094,1.826,4.706,1.672
crushed,7,5.125,2.329,2.455,1.233
crust,5,3.059,1.893,4.906,0.947
crutch,6,3.412,1.927,3.629,1.569
cry,3,4.794,2.311,2.735,1.29
cry (shout),3,5.618,1.879,3.143,1.199
cry (weep),3,4.912,2.254,2.686,1.389
crying,6,4.912,2.442,2.177,1.097
crystal,7,6.371,2.016,6.943,1.351
cube,4,2.406,1.73,4.879,0.409
cuddle,6,6.629,2.071,8.029,1.224
cues,4,3.794,2.055,5.088,1.039
cues (prompts),4,4.515,1.459,4.969,1.075
cues (snooker),4,2.849,1.877,5.177,0.617
cuisine,7,5.294,2.163,6.486,1.5
cultural,8,5.364,2.057,6.152,1.282
culture,7,5.824,1.947,6.882,1.255
cunning,7,6,1.732,4.853,2.225
cunt,4,5.636,2.508,2.029,1.807
cup,3,3.886,1.833,5.177,0.706
curb,4,3.177,1.671,4.677,1.104
cure,4,6.419,1.931,8,1.118
curious,7,6.452,1.757,6.781,1.452
currant,7,3.771,1.958,5.257,0.966
currency,8,4.853,2.29,5.353,1.512
current,7,4.645,1.493,5.219,0.856
curry,5,5.088,2.525,5.849,1.635
curse,5,5.667,2.76,2.143,1.397
curtain,7,3.323,1.907,5.188,0.808
cushion,7,3.677,2.04,6.091,1.138
custom,6,4.114,2.188,5.6,0.962
cut,3,4.219,2.619,2.813,1.184
cut (clip),3,3.788,1.665,4.677,1.077
cut (of meat),3,4.061,2.242,5.4,1.677
cut (share),3,3.6,2.045,5.412,1.375
cut (wound),3,5.406,2.09,2.813,1.21
